caller_class	caller_method	target_method	confidence
NewBeeMallCategoryServiceImpl	getCategoriesForIndex	getParentId	0.90
NewBeeMallCategoryServiceImpl	getCategoriesForIndex	getParentId	0.90
NewBeeMallIndexConfigServiceImpl	getConfigGoodsesForIndex	getGoodsId	0.90
NewBeeMallOrderServiceImpl	saveOrder	getCartItemId	0.90
DefaultStore	setState	_classPrivateFieldLooseBase$7	0.85
Uppy	emit	_classPrivateFieldLooseBase$6	0.85
Uppy	emit	emit	0.85
Uppy	on	_classPrivateFieldLooseBase$6	0.85
Uppy	on	on	0.85
Uppy	once	_classPrivateFieldLooseBase$6	0.85
Uppy	once	once	0.85
Uppy	off	_classPrivateFieldLooseBase$6	0.85
Uppy	off	off	0.85
Uppy	updateAll	update	0.85
Uppy	updateAll	iteratePlugins	0.85
Uppy	setState	setState	0.85
Uppy	getState	getState	0.85
Uppy	state	getState	0.85
Uppy	setFileState	getState	0.85
Uppy	setFileState	setState	0.85
Uppy	setOptions	i18nInit	0.85
Uppy	setOptions	setOptions	0.85
Uppy	setOptions	iteratePlugins	0.85
Uppy	setOptions	setMeta	0.85
Uppy	setOptions	setState	0.85
Uppy	resetProgress	keys	0.85
Uppy	resetProgress	emit	0.85
Uppy	resetProgress	getState	0.85
Uppy	resetProgress	setState	0.85
Uppy	addPreProcessor	_classPrivateFieldLooseBase$6	0.85
Uppy	removePreProcessor	_classPrivateFieldLooseBase$6	0.85
Uppy	addPostProcessor	_classPrivateFieldLooseBase$6	0.85
Uppy	removePostProcessor	_classPrivateFieldLooseBase$6	0.85
Uppy	addUploader	_classPrivateFieldLooseBase$6	0.85
Uppy	removeUploader	_classPrivateFieldLooseBase$6	0.85
Uppy	setMeta	keys	0.85
Uppy	setMeta	log	0.85
Uppy	setMeta	getState	0.85
Uppy	setMeta	setState	0.85
Uppy	setFileMeta	log	0.85
Uppy	setFileMeta	getState	0.85
Uppy	setFileMeta	setState	0.85
Uppy	getFile	getState	0.85
Uppy	getFiles	getState	0.85
Uppy	getObjectOfFilesPerState	getState	0.85
Uppy	validateRestrictions	_classPrivateFieldLooseBase$6	0.85
Uppy	checkIfFileAlreadyExists	getState	0.85
Uppy	addFile	_classPrivateFieldLooseBase$6	0.85
Uppy	addFile	emit	0.85
Uppy	addFile	log	0.85
Uppy	addFile	getState	0.85
Uppy	addFile	setState	0.85
Uppy	addFiles	keys	0.85
Uppy	addFiles	_classPrivateFieldLooseBase$6	0.85
Uppy	addFiles	emit	0.85
Uppy	addFiles	log	0.85
Uppy	addFiles	getState	0.85
Uppy	addFiles	setState	0.85
Uppy	removeFiles	keys	0.85
Uppy	removeFiles	emit	0.85
Uppy	removeFiles	log	0.85
Uppy	removeFiles	calculateTotalProgress	0.85
Uppy	removeFiles	getState	0.85
Uppy	removeFiles	setState	0.85
Uppy	removeFile	removeFiles	0.85
Uppy	pauseResume	emit	0.85
Uppy	pauseResume	getFile	0.85
Uppy	pauseResume	setFileState	0.85
Uppy	pauseResume	getState	0.85
Uppy	pauseAll	keys	0.85
Uppy	pauseAll	emit	0.85
Uppy	pauseAll	getState	0.85
Uppy	pauseAll	setState	0.85
Uppy	resumeAll	keys	0.85
Uppy	resumeAll	emit	0.85
Uppy	resumeAll	getState	0.85
Uppy	resumeAll	setState	0.85
Uppy	retryAll	keys	0.85
Uppy	retryAll	_classPrivateFieldLooseBase$6	0.85
Uppy	retryAll	emit	0.85
Uppy	retryAll	getState	0.85
Uppy	retryAll	setState	0.85
Uppy	cancelAll	keys	0.85
Uppy	cancelAll	emit	0.85
Uppy	cancelAll	removeFiles	0.85
Uppy	cancelAll	getState	0.85
Uppy	cancelAll	setState	0.85
Uppy	retryUpload	_classPrivateFieldLooseBase$6	0.85
Uppy	retryUpload	emit	0.85
Uppy	retryUpload	setFileState	0.85
Uppy	reset	cancelAll	0.85
Uppy	logout	logout	0.85
Uppy	logout	iteratePlugins	0.85
Uppy	calculateProgress	log	0.85
Uppy	calculateProgress	calculateTotalProgress	0.85
Uppy	calculateProgress	getFile	0.85
Uppy	calculateProgress	setFileState	0.85
Uppy	calculateTotalProgress	emit	0.85
Uppy	calculateTotalProgress	getFiles	0.85
Uppy	calculateTotalProgress	setState	0.85
Uppy	updateOnlineStatus	emit	0.85
Uppy	use	_classPrivateFieldLooseBase$6	0.85
Uppy	use	getPlugin	0.85
Uppy	use	install	0.85
Uppy	use	log	0.85
Uppy	getPlugin	_classPrivateFieldLooseBase$6	0.85
Uppy	iteratePlugins	_classPrivateFieldLooseBase$6	0.85
Uppy	removePlugin	_classPrivateFieldLooseBase$6	0.85
Uppy	removePlugin	uninstall	0.85
Uppy	removePlugin	emit	0.85
Uppy	removePlugin	log	0.85
Uppy	removePlugin	getState	0.85
Uppy	removePlugin	setState	0.85
Uppy	removePlugin	findIndex	0.50
Uppy	close	_classPrivateFieldLooseBase$6	0.85
Uppy	close	log	0.85
Uppy	close	removePlugin	0.85
Uppy	close	iteratePlugins	0.85
Uppy	hideInfo	emit	0.85
Uppy	hideInfo	getState	0.85
Uppy	hideInfo	setState	0.85
Uppy	info	emit	0.85
Uppy	info	hideInfo	0.85
Uppy	info	getState	0.85
Uppy	info	setState	0.85
Uppy	restore	_classPrivateFieldLooseBase$6	0.85
Uppy	restore	log	0.85
Uppy	restore	getState	0.85
Uppy	addResultData	_classPrivateFieldLooseBase$6	0.85
Uppy	addResultData	log	0.85
Uppy	addResultData	getState	0.85
Uppy	addResultData	setState	0.85
Uppy	upload	keys	0.85
Uppy	upload	_classPrivateFieldLooseBase$6	0.85
Uppy	upload	log	0.85
Uppy	upload	getFile	0.85
Uppy	upload	getState	0.85
Uppy	upload	setState	0.85
Uppy	upload	then	0.50
UIPlugin	mount	debounce	0.85
UIPlugin	mount	_classPrivateFieldLooseBase$5	0.85
UIPlugin	mount	appendChild	0.85
UIPlugin	mount	render	0.85
UIPlugin	mount	getPlugin	0.85
UIPlugin	mount	onMount	0.85
UIPlugin	mount	afterUpdate	0.85
UIPlugin	mount	addTarget	0.85
UIPlugin	mount	log	0.85
UIPlugin	mount	iteratePlugins	0.85
UIPlugin	mount	getState	0.85
UIPlugin	update	_classPrivateFieldLooseBase$5	0.85
UIPlugin	unmount	onUnmount	0.85
ProgressTimeout	progress	_classPrivateFieldLooseBase$1	0.85
ProgressTimeout	done	_classPrivateFieldLooseBase$1	0.85
ProgressTimeout	done	animate	0.85
ProgressTimeout	done	each	0.85
ProgressTimeout	done	shift	0.50
RateLimitedQueue$1	run	_classPrivateFieldLooseBase	0.85
RateLimitedQueue$1	wrapPromiseFunction	fn	0.85
RateLimitedQueue$1	wrapPromiseFunction	createCancelError	0.85
